PMID,PubDate,EPubDate,Source,AuthorList,Author,LastAuthor,Title,Volume,Issue,Pages,LangList,Lang,NlmUniqueID,ISSN,ESSN,PubTypeList,PubType,RecordStatus,PubStatus,ArticleIds,pubmed,rid,eid,History,medline,entrez,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO
29567708,2018 Mar 23,"",Science,Zitvogel LMa YRaoult DKroemer GGajewski TF,Zitvogel L,Gajewski TF,The microbiome in cancer immunotherapy: Diagnostic tools and therapeutic strategies.,359,6382,1366-1370,English,English,0404511,0036-8075,1095-9203,Journal ArticleReview,Journal Article,PubMed - indexed for MEDLINE,ppublish,29567708359/6382/136610.1126/science.aar69182956770829567708,29567708,29567708,29567708,2018/03/24 06:002018/03/24 06:002018/05/01 06:00,2018/05/01 06:00,2018/03/24 06:00,"",1,8,"Science (New York, N.Y.)",doi: 10.1126/science.aar6918,2018 Mar 23;359(6382):1366-1370
29526926,2018 Jul 23,2018 Mar 12,J Gen Appl Microbiol,Do THLe NGDao TKNguyen TMPLe TLLuu HLNguyen KHVNguyen VLLe LAPhung TNvan Straalen NMRoelofs DTruong NH,Do TH,Truong NH,Metagenomic insights into lignocellulose-degrading genes through Illumina-based de novo sequencing of the microbiome in Vietnamese native goats' rumen.,64,3,108-116,English,English,0165543,0022-1260,1349-8037,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2952692610.2323/jgam.2017.08.0042952692629526926,29526926,29526926,29526926,2018/03/13 06:002018/09/15 06:002018/03/13 06:00,2018/09/15 06:00,2018/03/13 06:00,"",1,1,The Journal of general and applied microbiology,doi: 10.2323/jgam.2017.08.004,2018 Jul 23;64(3):108-116
29520598,2018 May,2018 Mar 8,Appl Microbiol Biotechnol,Huang WCheng ZLei SLiu LLv XChen LWu MWang CTian BSong Y,Huang W,Song Y,"Community composition, diversity, and metabolism of intestinal microbiota in cultivated European eel (Anguilla anguilla).",102,9,4143-4157,English,English,8406612,0175-7598,1432-0614,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2952059810.1007/s00253-018-8885-910.1007/s00253-018-8885-92952059829520598,29520598,29520598,29520598,2017/09/21 00:002018/02/18 00:002018/02/13 00:002018/03/10 06:002018/10/03 06:002018/03/10 06:00,2018/10/03 06:00,2018/03/10 06:00,"",1,0,Applied microbiology and biotechnology,doi: 10.1007/s00253-018-8885-9,2018 May;102(9):4143-4157
29511180,2018 Mar 6,2018 Mar 6,Nat Commun,Hu YSanders JGŁukasik PD'Amelio CLMillar JSVann DRLan YNewton JASchotanus MKronauer DJCPierce NEMoreau CSWertz JTEngel PRussell JA,Hu Y,Russell JA,Herbivorous turtle ants obtain essential nutrients from a conserved nitrogen-recycling gut microbiome.,9,1,964,English,English,101528555,"",2041-1723,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2951118010.1038/s41467-018-03357-y10.1038/s41467-018-03357-yPMC58404172951118029511180pmc-id: PMC5840417;,29511180,29511180,29511180,2017/09/25 00:002018/02/07 00:002018/03/08 06:002018/03/08 06:002018/03/31 06:00,2018/03/31 06:00,2018/03/08 06:00,Nat Commun. 2018 Jun 19;9(1):2440. PMID: 29921959,1,3,Nature communications,doi: 10.1038/s41467-018-03357-y,2018 Mar 6;9(1):964
29504486,2018 Apr,2018 Mar 5,Scand J Gastroenterol,Rintala ARiikonen IToivonen APietilä SMunukka EPursiheimo JPElo LLArikoski PLuopajärvi KSchwab UUusitupa MHeinonen SSavilahti EEerola EIlonen J,Rintala A,Ilonen J,Early fecal microbiota composition in children who later develop celiac disease and associated autoimmunity.,53,4,403-409,English,English,0060105,0036-5521,1502-7708,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2950448610.1080/00365521.2018.14447882950448629504486,29504486,29504486,29504486,2018/03/06 06:002018/10/03 06:002018/03/06 06:00,2018/10/03 06:00,2018/03/06 06:00,"",1,1,Scandinavian journal of gastroenterology,doi: 10.1080/00365521.2018.1444788,2018 Apr;53(4):403-409
29494648,2018,2018 Mar 1,PLoS One,Bhogoju SNahashon SWang XDarris CKilonzo-Nthenge A,Bhogoju S,Kilonzo-Nthenge A,A comparative analysis of microbial profile of Guinea fowl and chicken using metagenomic approach.,13,3,e0191029,English,English,101285081,"",1932-6203,Journal Article,Journal Article,PubMed - indexed for MEDLINE,"",2949464810.1371/journal.pone.0191029PONE-D-17-17431PMC58322162949464829494648pmc-id: PMC5832216;,29494648,29494648,29494648,2017/05/05 00:002017/12/27 00:002018/03/02 06:002018/03/02 06:002018/06/19 06:00,2018/06/19 06:00,2018/03/02 06:00,"",1,0,PloS one,doi: 10.1371/journal.pone.0191029,2018;13(3):e0191029
29454699,2018 May,2018 Feb 15,J Dairy Sci,Schären MFrahm JKersten SMeyer UHummel JBreves GDänicke S,Schären M,Dänicke S,"Interrelations between the rumen microbiota and production, behavioral, rumen fermentation, metabolic, and immunological attributes of dairy cows.",101,5,4615-4637,English,English,2985126R,0022-0302,1525-3198,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29454699S0022-0302(18)30141-310.3168/jds.2017-137362945469929454699,29454699,29454699,29454699,2017/08/24 00:002017/12/09 00:002018/02/20 06:002018/10/16 06:002018/02/19 06:00,2018/10/16 06:00,2018/02/19 06:00,"",1,1,Journal of dairy science,doi: 10.3168/jds.2017-13736,2018 May;101(5):4615-4637
29382070,2018 Jan 27,2018 Jan 27,Int J Mol Sci,D'Argenio V,D'Argenio V,D'Argenio V,Human Microbiome Acquisition and Bioinformatic Challenges in Metagenomic Studies.,19,2,"",English,English,101092791,"",1422-0067,Journal ArticleReview,Journal Article,PubMed - indexed for MEDLINE,epublish,29382070ijms1902038310.3390/ijms19020383PMC58556052938207029382070pmc-id: PMC5855605;,29382070,29382070,29382070,2017/12/14 00:002018/01/21 00:002018/01/24 00:002018/02/01 06:002018/02/01 06:002018/08/02 06:00,2018/08/02 06:00,2018/02/01 06:00,"",1,2,International journal of molecular sciences,pii: E383. doi: 10.3390/ijms19020383,2018 Jan 27;19(2)
29330119,2018 Apr,2018 Jan 10,Anaerobe,Jin WWang YLi YCheng YZhu W,Jin W,Zhu W,Temporal changes of the bacterial community colonizing wheat straw in the cow rumen.,50,"",1-8,English,English,9505216,1075-9964,1095-8274,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29330119S1075-9964(18)30004-010.1016/j.anaerobe.2018.01.0042933011929330119,29330119,29330119,29330119,2017/08/22 00:002018/01/03 00:002018/01/07 00:002018/01/14 06:002018/09/06 06:002018/01/14 06:00,2018/09/06 06:00,2018/01/14 06:00,"",1,0,Anaerobe,doi: 10.1016/j.anaerobe.2018.01.004,2018 Apr;50:1-8
29311585,2018 Jan 8,2018 Jan 8,Sci Rep,Odamaki TBottacini FKato KMitsuyama EYoshida KHorigome AXiao JZvan Sinderen D,Odamaki T,van Sinderen D,Genomic diversity and distribution of Bifidobacterium longum subsp. longum across the human lifespan.,8,1,85,English,English,101563288,"",2045-2322,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2931158510.1038/s41598-017-18391-x10.1038/s41598-017-18391-xPMC57585202931158529311585pmc-id: PMC5758520;,29311585,29311585,29311585,2017/08/17 00:002017/12/11 00:002018/01/10 06:002018/01/10 06:002018/11/18 06:00,2018/11/18 06:00,2018/01/10 06:00,"",1,2,Scientific reports,doi: 10.1038/s41598-017-18391-x,2018 Jan 8;8(1):85
29275129,2018 Feb,2017 Dec 21,Microb Pathog,Zeineldin MAldridge BLowe J,Zeineldin M,Lowe J,Dysbiosis of the fecal microbiota in feedlot cattle with hemorrhagic diarrhea.,115,"",123-130,English,English,8606191,0882-4010,1096-1208,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29275129S0882-4010(17)31203-210.1016/j.micpath.2017.12.0592927512929275129,29275129,29275129,29275129,2017/09/20 00:002017/12/19 00:002017/12/19 00:002017/12/25 06:002018/08/23 06:002017/12/25 06:00,2018/08/23 06:00,2017/12/25 06:00,"",1,0,Microbial pathogenesis,doi: 10.1016/j.micpath.2017.12.059,2018 Feb;115:123-130
29198875,2018 Mar 25,2017 Dec 1,J Ethnopharmacol,Yu JGuo JTao WLiu PShang EZhu ZFan XShen JHua YZhu KYTang YDuan JA,Yu J,Duan JA,Gancao-Gansui combination impacts gut microbiota diversity and related metabolic functions.,214,"",71-82,English,English,7903310,0378-8741,1872-7573,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29198875S0378-8741(17)31287-410.1016/j.jep.2017.11.0312919887529198875,29198875,29198875,29198875,2017/04/03 00:002017/08/27 00:002017/11/27 00:002017/12/05 06:002018/08/14 06:002017/12/05 06:00,2018/08/14 06:00,2017/12/05 06:00,"",1,1,Journal of ethnopharmacology,doi: 10.1016/j.jep.2017.11.031,2018 Mar 25;214:71-82
29195140,2018 Jan,2017 Nov 28,Mol Immunol,Montassier EBerthelot LSoulillou JP,Montassier E,Soulillou JP,"Are the decrease in circulating anti-α1,3-Gal IgG and the lower content of galactosyl transferase A1 in the microbiota of patients with multiple sclerosis a novel environmental risk factor for the disease?",93,"",162-165,English,English,7905289,0161-5890,1872-9142,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29195140S0161-5890(17)30515-110.1016/j.molimm.2017.09.0162919514029195140,29195140,29195140,29195140,2017/08/08 00:002017/09/22 00:002017/09/27 00:002017/12/02 06:002018/01/25 06:002017/12/02 06:00,2018/01/25 06:00,2017/12/02 06:00,"",1,1,Molecular immunology,doi: 10.1016/j.molimm.2017.09.016,2018 Jan;93:162-165
29169110,2018 Feb 5,2017 Nov 15,J Pharm Biomed Anal,Liu YLi JYu JWang YLu JShang EXZhu ZGuo JDuan J,Liu Y,Duan J,Disorder of gut amino acids metabolism during CKD progression is related with gut microbiota dysbiosis and metagenome change.,149,"",425-435,English,English,8309336,0731-7085,1873-264X,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29169110S0731-7085(17)31320-110.1016/j.jpba.2017.11.0402916911029169110,29169110,29169110,29169110,2017/05/25 00:002017/11/13 00:002017/11/13 00:002017/11/24 06:002018/08/14 06:002017/11/24 06:00,2018/08/14 06:00,2017/11/24 06:00,"",1,2,Journal of pharmaceutical and biomedical analysis,doi: 10.1016/j.jpba.2017.11.040,2018 Feb 5;149:425-435
29135334,2018 Mar 4,2017 Nov 28,Gut Microbes,Mann PEHuynh KWidmer G,Mann PE,Widmer G,Maternal high fat diet and its consequence on the gut microbiome: A rat model.,9,2,143-154,English,English,101495343,1949-0976,1949-0984,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2913533410.1080/19490976.2017.1395122PMC59897932913533429135334pmc-id: PMC5989793;,29135334,29135334,29135334,2017/11/15 06:002018/10/03 06:002017/11/15 06:00,2018/10/03 06:00,2017/11/15 06:00,"",1,1,Gut microbes,doi: 10.1080/19490976.2017.1395122,2018 Mar 4;9(2):143-154
29113561,2017 Dec,2017 Oct 9,J Bioinform Comput Biol,Rahman MALaPierre NRangwala HBarbara D,Rahman MA,Barbara D,Metagenome sequence clustering with hash-based canopies.,15,6,1740006,English,English,101187344,0219-7200,1757-6334,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2911356110.1142/S02197200174000662911356129113561,29113561,29113561,29113561,2017/11/09 06:002018/07/25 06:002017/11/09 06:00,2018/07/25 06:00,2017/11/09 06:00,"",1,0,Journal of bioinformatics and computational biology,doi: 10.1142/S0219720017400066,2017 Dec;15(6):1740006
29097494,2018 Jan 5,2017 Nov 2,Science,Routy BLe Chatelier EDerosa LDuong CPMAlou MTDaillère RFluckiger AMessaoudene MRauber CRoberti MPFidelle MFlament CPoirier-Colame VOpolon PKlein CIribarren KMondragón LJacquelot NQu BFerrere GClémenson CMezquita LMasip JRNaltet CBrosseau SKaderbhai CRichard CRizvi HLevenez FGalleron NQuinquis BPons NRyffel BMinard-Colin VGonin PSoria JCDeutsch ELoriot YGhiringhelli FZalcman GGoldwasser FEscudier BHellmann MDEggermont ARaoult DAlbiges LKroemer GZitvogel L,Routy B,Zitvogel L,Gut microbiome influences efficacy of PD-1-based immunotherapy against epithelial tumors.,359,6371,91-97,English,English,0404511,0036-8075,1095-9203,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29097494science.aan370610.1126/science.aan37062909749429097494,29097494,29097494,29097494,2017/04/05 00:002017/09/20 00:002017/11/04 06:002018/04/11 06:002017/11/04 06:00,2018/04/11 06:00,2017/11/04 06:00,Science. 2018 Jan 5;359(6371):32-34. PMID: 29302001Sci Immunol. 2018 Feb 2;3(20):. PMID: 29429981Transl Cancer Res. 2018 Jun;7(Suppl 5):S608-S610. PMID: 30443490,1,106,"Science (New York, N.Y.)",doi: 10.1126/science.aan3706,2018 Jan 5;359(6371):91-97
29097493,2018 Jan 5,2017 Nov 2,Science,Gopalakrishnan VSpencer CNNezi LReuben AAndrews MCKarpinets TVPrieto PAVicente DHoffman KWei SCCogdill APZhao LHudgens CWHutchinson DSManzo TPetaccia de Macedo MCotechini TKumar TChen WSReddy SMSzczepaniak Sloane RGalloway-Pena JJiang HChen PLShpall EJRezvani KAlousi AMChemaly RFShelburne SVence LMOkhuysen PCJensen VBSwennes AGMcAllister FMarcelo Riquelme Sanchez EZhang YLe Chatelier EZitvogel LPons NAustin-Breneman JLHaydu LEBurton EMGardner JMSirmans EHu JLazar AJTsujikawa TDiab ATawbi HGlitza ICHwu WJPatel SPWoodman SEAmaria RNDavies MAGershenwald JEHwu PLee JEZhang JCoussens LMCooper ZAFutreal PADaniel CRAjami NJPetrosino JFTetzlaff MTSharma PAllison JPJenq RRWargo JA,Gopalakrishnan V,Wargo JA,Gut microbiome modulates response to anti-PD-1 immunotherapy in melanoma patients.,359,6371,97-103,English,English,0404511,0036-8075,1095-9203,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29097493science.aan423610.1126/science.aan4236PMC5827966NIHMS9280902909749329097493pmc-id: PMC5827966;manuscript-id: NIHMS928090;,29097493,29097493,29097493,2017/04/12 00:002017/10/17 00:002017/11/04 06:002018/04/11 06:002017/11/04 06:00,2018/04/11 06:00,2017/11/04 06:00,Science. 2018 Jan 5;359(6371):32-34. PMID: 29302001,1,93,"Science (New York, N.Y.)",doi: 10.1126/science.aan4236,2018 Jan 5;359(6371):97-103
29069412,2017 Nov 1,"",Gigascience,De Anda VZapata-Peñasco IPoot-Hernandez ACEguiarte LEContreras-Moreira BSouza V,De Anda V,Souza V,"MEBS, a software platform to evaluate large (meta)genomic collections according to their metabolic machinery: unraveling the sulfur cycle.",6,11,1-17,English,English,101596872,"",2047-217X,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,29069412456166010.1093/gigascience/gix096PMC57378712906941229069412pmc-id: PMC5737871;,29069412,29069412,29069412,2017/06/13 00:002017/10/01 00:002017/10/27 06:002018/07/10 06:002017/10/26 06:00,2018/07/10 06:00,2017/10/26 06:00,"",1,1,GigaScience,doi: 10.1093/gigascience/gix096,2017 Nov 1;6(11):1-17
29020628,2017 Oct 10,"",Cell Rep,Tamura KHemsworth GRDéjean GRogers TEPudlo NAUrs KJain NDavies GJMartens ECBrumer H,Tamura K,Brumer H,"Molecular Mechanism by which Prominent Human Gut Bacteroidetes Utilize Mixed-Linkage Beta-Glucans, Major Health-Promoting Cereal Polysaccharides.",21,2,417-430,English,English,101573691,"",2211-1247,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,29020628S2211-1247(17)31339-610.1016/j.celrep.2017.09.049PMC5656003NIHMS9124862902062829020628pmc-id: PMC5656003;manuscript-id: NIHMS912486;,29020628,29020628,29020628,2017/06/02 00:002017/08/30 00:002017/09/14 00:002017/10/12 06:002017/10/12 06:002018/06/14 06:00,2018/06/14 06:00,2017/10/12 06:00,Cell Rep. 2017 Nov 14;21(7):2030. PMID: 29141231,1,4,Cell reports,doi: 10.1016/j.celrep.2017.09.049,2017 Oct 10;21(2):417-430
29018189,2017 Oct 10,2017 Oct 10,Nat Commun,Jie ZXia HZhong SLFeng QLi SLiang SZhong HLiu ZGao YZhao HZhang DSu ZFang ZLan ZLi JXiao LLi JLi RLi XLi FRen HHuang YPeng YLi GWen BDong BChen JYGeng QSZhang ZWYang HWang JWang JZhang XMadsen LBrix SNing GXu XLiu XHou YJia HHe KKristiansen K,Jie Z,Kristiansen K,The gut microbiome in atherosclerotic cardiovascular disease.,8,1,845,English,English,101528555,"",2041-1723,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2901818910.1038/s41467-017-00900-110.1038/s41467-017-00900-1PMC56350302901818929018189pmc-id: PMC5635030;,29018189,29018189,29018189,2017/02/09 00:002017/08/02 00:002017/10/12 06:002017/10/12 06:002018/02/07 06:00,2018/02/07 06:00,2017/10/12 06:00,"",1,22,Nature communications,doi: 10.1038/s41467-017-00900-1,2017 Oct 10;8(1):845
28976007,2017 Dec,2017 Oct 4,Bioessays,Rosen CEPalm NW,Rosen CE,Palm NW,Functional Classification of the Gut Microbiota: The Key to Cracking the Microbiota Composition Code: Functional classifications of the gut microbiota reveal previously hidden contributions of indigenous gut bacteria to human health and disease.,39,12,"",English,English,8510851,0265-9247,1521-1878,Journal ArticleReview,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2897600710.1002/bies.2017000322897600728976007,28976007,28976007,28976007,2017/02/23 00:002017/09/03 00:002017/10/05 06:002018/07/13 06:002017/10/05 06:00,2018/07/13 06:00,2017/10/05 06:00,"",1,0,"BioEssays : news and reviews in molecular, cellular and developmental biology",doi: 10.1002/bies.201700032,2017 Dec;39(12)
28973555,2017 Dec 1,"",Toxicol Sci,Chi LBian XGao BTu PRu HLu K,Chi L,Lu K,The Effects of an Environmentally Relevant Level of Arsenic on the Gut Microbiome and Its Functional Metagenome.,160,2,193-204,English,English,9805461,1096-6080,1096-0929,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28973555409663410.1093/toxsci/kfx174PMC58373262897355528973555pmc-id: PMC5837326;embargo-date: 2018/12/01;,28973555,28973555,28973555,2018/12/01 00:002017/10/04 06:002018/07/26 06:002017/10/04 06:00,2018/07/26 06:00,2017/10/04 06:00,"",1,2,Toxicological sciences : an official journal of the Society of Toxicology,doi: 10.1093/toxsci/kfx174,2017 Dec 1;160(2):193-204
28967228,2017 Nov,2017 Oct 27,Environ Microbiol,Rampelli STurroni SSchnorr SLSoverini MQuercia SBarone MCastagnetti ABiagi EGallinella GBrigidi PCandela M,Rampelli S,Candela M,Characterization of the human DNA gut virome across populations with different subsistence strategies and geographical origin.,19,11,4728-4735,English,English,100883692,1462-2912,1462-2920,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2896722810.1111/1462-2920.139382896722828967228,28967228,28967228,28967228,2017/05/26 00:002017/08/17 00:002017/09/19 00:002017/10/03 06:002018/03/27 06:002017/10/03 06:00,2018/03/27 06:00,2017/10/03 06:00,"",1,1,Environmental microbiology,doi: 10.1111/1462-2920.13938,2017 Nov;19(11):4728-4735
28923537,2017 Oct,2017 Sep 15,Neoplasia,Frankel AECoughlin LAKim JFroehlich TWXie YFrenkel EPKoh AY,Frankel AE,Koh AY,Metagenomic Shotgun Sequencing and Unbiased Metabolomic Profiling Identify Specific Human Gut Microbiota and Metabolites Associated with Immune Checkpoint Therapy Efficacy in Melanoma Patients.,19,10,848-855,English,English,100886622,1522-8002,1476-5586,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28923537S1476-5586(17)30238-510.1016/j.neo.2017.08.004PMC56024782892353728923537pmc-id: PMC5602478;,28923537,28923537,28923537,2017/06/03 00:002017/08/08 00:002017/08/08 00:002017/09/20 06:002018/05/24 06:002017/09/20 06:00,2018/05/24 06:00,2017/09/20 06:00,"",1,12,"Neoplasia (New York, N.Y.)",doi: 10.1016/j.neo.2017.08.004,2017 Oct;19(10):848-855
